Dish ID,Dish Name,Category,Current Image,Proposed Image,Score,Confidence,Reasons
6a845a7a2876405dd5375d58,"Pizza Margherita","Les Pizzas","https://res.cloudinary.com/gmpztbom/image/upload/v1787060778/bizzart/menu/D2ACAC2E-1EDE-404C-8597-0006112AC6C2_beeo60.png","https://res.cloudinary.com/gmpztbom/image/upload/v1787060767/bizzart/menu/r07qxo_-_R_Download_9_bp8oao.jpg",30,NO_MATCH,"✓ Photo VALIDÉE dans l'audit précédent"
6a845a7a2876405dd5375d5b,"Pizza Thon","Les Pizzas","https://res.cloudinary.com/gmpztbom/image/upload/v1787060785/bizzart/menu/F04A3E91-B691-4A8E-8F76-665B275F1812_wdtkew.png","https://res.cloudinary.com/gmpztbom/image/upload/v1787060785/bizzart/menu/F04A3E91-B691-4A8E-8F76-665B275F1812_wdtkew.png",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7a2876405dd5375d5e,"Pizza 4 Fromages sauce tomate","Les Pizzas","https://res.cloudinary.com/gmpztbom/image/upload/v1787060756/bizzart/menu/r07qxo_-_R_Download_13_djmfzt.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060756/bizzart/menu/r07qxo_-_R_Download_13_djmfzt.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7a2876405dd5375d61,"Pizza 4 Fromages sauce blanche","Les Pizzas","https://res.cloudinary.com/gmpztbom/image/upload/v1787060763/bizzart/menu/r07qxo_-_R_Download_7_usi3f8.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060763/bizzart/menu/r07qxo_-_R_Download_7_usi3f8.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7a2876405dd5375d64,"Reine","Les Pizzas","https://res.cloudinary.com/gmpztbom/image/upload/v1787060810/bizzart/menu/IMG_9701_qyr2m3.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060810/bizzart/menu/IMG_9701_qyr2m3.jpg",15,NO_MATCH,"Photo actuellement assignée"
6a845a7a2876405dd5375d67,"Piquante","Les Pizzas","https://res.cloudinary.com/gmpztbom/image/upload/v1787060804/bizzart/menu/IMG_0237_nkagke.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060804/bizzart/menu/IMG_0237_nkagke.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7a2876405dd5375d6a,"Chicken","Les Pizzas","https://res.cloudinary.com/gmpztbom/image/upload/v1787060791/bizzart/menu/FB_IMG_1786831387595_vrtvut.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060791/bizzart/menu/FB_IMG_1786831387595_vrtvut.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7a2876405dd5375d6d,"Napolitaine","Les Pizzas","https://res.cloudinary.com/gmpztbom/image/upload/v1787060789/bizzart/menu/FB_IMG_1786831383530_jofqku.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060789/bizzart/menu/FB_IMG_1786831383530_jofqku.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7a2876405dd5375d70,"Pepperoni","Les Pizzas","https://res.cloudinary.com/gmpztbom/image/upload/v1787060804/bizzart/menu/IMG_0237_nkagke.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060804/bizzart/menu/IMG_0237_nkagke.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7a2876405dd5375d73,"4 Saisons","Les Pizzas","https://res.cloudinary.com/gmpztbom/image/upload/v1787060788/bizzart/menu/FB_IMG_1786831381120_cigb5d.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060788/bizzart/menu/FB_IMG_1786831381120_cigb5d.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7a2876405dd5375d76,"Pizza Bizz'art","Les Pizzas","https://res.cloudinary.com/gmpztbom/image/upload/v1787060767/bizzart/menu/r07qxo_-_R_Download_9_bp8oao.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060767/bizzart/menu/r07qxo_-_R_Download_9_bp8oao.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7a2876405dd5375d79,"Pizza Anglaise","Les Pizzas","https://res.cloudinary.com/gmpztbom/image/upload/v1787060753/bizzart/menu/r07qxo_-_R_Download_11_ak1ici.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060753/bizzart/menu/r07qxo_-_R_Download_11_ak1ici.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7a2876405dd5375d7c,"Pizza BURRATA","Les Pizzas","https://res.cloudinary.com/gmpztbom/image/upload/v1787060791/bizzart/menu/FB_IMG_1786831389680_coillr.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060791/bizzart/menu/FB_IMG_1786831389680_coillr.jpg",15,NO_MATCH,"Photo actuellement assignée"
6a845a7a2876405dd5375d7f,"Pizza Fruit de mer","Les Pizzas","https://res.cloudinary.com/gmpztbom/image/upload/v1787060807/bizzart/menu/IMG_9699_g5ubkl.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060807/bizzart/menu/IMG_9699_g5ubkl.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
6a845a7a2876405dd5375d82,"Pizza Saumon","Les Pizzas","https://res.cloudinary.com/gmpztbom/image/upload/v1787060756/bizzart/menu/r07qxo_-_R_Download_13_djmfzt.jpg","https://res.cloudinary.com/gmpztbom/image/upload/v1787060756/bizzart/menu/r07qxo_-_R_Download_13_djmfzt.jpg",7.5,NO_MATCH,"Photo actuellement assignée; ⚠️ Marquée comme doublon"
